Model,Accuracy,F1,Precision,Recall
Decision Tree,0.956,0.955924314938404,0.956383214935774,0.956
KNN (k=5),0.82,0.8133355605077641,0.8325836544292579,0.82
Logistic Regression,0.996,0.9959862663087583,0.9960412371134021,0.996
